Event	ID	Name			Wwise Object Path	Notes
	590598450	vo_start_battle			\Default Work Unit\vo_start_battle	
	693799259	vo_gun_damaged			\Default Work Unit\vo_gun_damaged	
	825236543	vo_gun_destroyed			\Default Work Unit\vo_gun_destroyed	
	1107412350	vo_gunner_killed			\Default Work Unit\vo_gunner_killed	
	1396083645	vo_fire_started			\Default Work Unit\vo_fire_started	
	1641781602	vo_fuel_tank_damaged			\Default Work Unit\vo_fuel_tank_damaged	
	1781671118	vo_loader_killed			\Default Work Unit\vo_loader_killed	
	3616464105	vo_fire_stopped			\Default Work Unit\vo_fire_stopped	
	4011208105	vo_gun_functional			\Default Work Unit\vo_gun_functional	
	4148607935	vo_engine_functional			\Default Work Unit\vo_engine_functional	

Game Parameter	ID	Name			Wwise Object Path	Notes
	5189176	RTPC_ext_menu_volume_voice_gui			\Default Work Unit\RTPC_ext_menu_volume_voice_gui	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	258775	gun_damaged_01	F:\Tanks Stuff\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_2\.cache\Windows\Voices\English(UK)\gun_damaged_01_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_gun_damaged\gun_damaged_01		35611
	7333443	start_battle_21	F:\Tanks Stuff\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_2\.cache\Windows\Voices\English(UK)\start_battle_21_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_start_battle\start_battle_21		8029
	7540519	start_battle_04	F:\Tanks Stuff\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_2\.cache\Windows\Voices\English(UK)\start_battle_04_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_start_battle\start_battle_04		5840
	32801252	gunner_killed_04	F:\Tanks Stuff\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_2\.cache\Windows\Voices\English(UK)\gunner_killed_04_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_gunner_killed\gunner_killed_04		25014
	42449756	start_battle_13	F:\Tanks Stuff\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_2\.cache\Windows\Voices\English(UK)\start_battle_13_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_start_battle\start_battle_13		7377
	82947244	gun_damaged_02	F:\Tanks Stuff\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_2\.cache\Windows\Voices\English(UK)\gun_damaged_02_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_gun_damaged\gun_damaged_02		32739
	98976349	gunner_killed_03	F:\Tanks Stuff\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_2\.cache\Windows\Voices\English(UK)\gunner_killed_03_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_gunner_killed\gunner_killed_03		31290
	126641396	start_battle_32	F:\Tanks Stuff\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_2\.cache\Windows\Voices\English(UK)\start_battle_32_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_start_battle\start_battle_32		8239
	129712553	gun_functional_01	F:\Tanks Stuff\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_2\.cache\Windows\Voices\English(UK)\gun_functional_01_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_gun_functional\gun_functional_01		30382
	129952580	loader_killed_02	F:\Tanks Stuff\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_2\.cache\Windows\Voices\English(UK)\loader_killed_02_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_loader_killed\loader_killed_02		31108
	146360394	start_battle_33	F:\Tanks Stuff\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_2\.cache\Windows\Voices\English(UK)\start_battle_33_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_start_battle\start_battle_33		7377
	159159660	fire_stopped_02	F:\Tanks Stuff\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_2\.cache\Windows\Voices\English(UK)\fire_stopped_02_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_fire_stopped\fire_stopped_02		14619
	163065978	gunner_killed_02	F:\Tanks Stuff\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_2\.cache\Windows\Voices\English(UK)\gunner_killed_02_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_gunner_killed\gunner_killed_02		25134
	170180105	fire_started_07	F:\Tanks Stuff\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_2\.cache\Windows\Voices\English(UK)\fire_started_07_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_fire_started\fire_started_07		16505
	173539092	start_battle_36	F:\Tanks Stuff\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_2\.cache\Windows\Voices\English(UK)\start_battle_36_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_start_battle\start_battle_36		9367
	176393282	start_battle_31	F:\Tanks Stuff\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_2\.cache\Windows\Voices\English(UK)\start_battle_31_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_start_battle\start_battle_31		7943
	177254778	fuel_tank_damaged_05	F:\Tanks Stuff\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_2\.cache\Windows\Voices\English(UK)\fuel_tank_damaged_05_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_fuel_tank_damaged\fuel_tank_damaged_05		26350
	180927087	fire_started_03	F:\Tanks Stuff\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_2\.cache\Windows\Voices\English(UK)\fire_started_03_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_fire_started\fire_started_03		9944
