Event	ID	Name			Wwise Object Path	Notes
	47755571	vo_turret_rotator_damaged			\Default Work Unit\vo_turret_rotator_damaged	
	85617264	vo_target_unlocked			\Default Work Unit\vo_target_unlocked	
	257621937	vo_turret_rotator_functional			\Default Work Unit\vo_turret_rotator_functional	
	311966861	vo_track_functional_can_move			\Default Work Unit\vo_track_functional_can_move	
	766987452	vo_track_damaged			\Default Work Unit\vo_track_damaged	
	1244332268	vo_track_destroyed			\Default Work Unit\vo_track_destroyed	
	1491984609	vo_target_captured			\Default Work Unit\vo_target_captured	
	1630212423	vo_turret_rotator_destroyed			\Default Work Unit\vo_turret_rotator_destroyed	
	2836359293	vo_target_lost			\Default Work Unit\vo_target_lost	
	3498324732	vo_track_functional			\Default Work Unit\vo_track_functional	
	3917054405	vo_vehicle_destroyed			\Default Work Unit\vo_vehicle_destroyed	

Game Parameter	ID	Name			Wwise Object Path	Notes
	5189176	RTPC_ext_menu_volume_voice_gui			\Default Work Unit\RTPC_ext_menu_volume_voice_gui	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	16508028	vehicle_destroyed_07	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\vehicle_destroyed_07_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_vehicle_destroyed\vehicle_destroyed_07		33714
	17765699	vehicle_destroyed_17	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\vehicle_destroyed_17_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_vehicle_destroyed\vehicle_destroyed_17		35567
	32761682	vehicle_destroyed_04	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\vehicle_destroyed_04_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_vehicle_destroyed\vehicle_destroyed_04		18582
	118287030	vehicle_destroyed_22	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\vehicle_destroyed_22_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_vehicle_destroyed\vehicle_destroyed_22		27346
	118468904	vehicle_destroyed_18	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\vehicle_destroyed_18_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_vehicle_destroyed\vehicle_destroyed_18		40385
	137948623	target_captured_01	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\target_captured_01_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_target_captured\target_captured_01		23531
	143894057	target_lost_01	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\target_lost_01_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_target_lost\target_lost_01		16795
	152689816	track_functional_04	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\track_functional_04_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_track_functional\track_functional_04		21791
	157689790	track_functional_03	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\track_functional_03_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_track_functional\track_functional_03		21791
	176652493	turret_rotator_functional_02	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\turret_rotator_functional_02_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_turret_rotator_functional\turret_rotator_functional_02		53831
	200027179	target_lost_04	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\target_lost_04_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_target_lost\target_lost_04		26199
	224717557	track_destroyed_07	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\track_destroyed_07_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_track_destroyed\track_destroyed_07		16273
	234829988	vehicle_destroyed_16	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\vehicle_destroyed_16_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_vehicle_destroyed\vehicle_destroyed_16		45531
	281935057	track_functional_01	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\track_functional_01_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_track_functional\track_functional_01		21791
	283522379	track_functional_can_move_02	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\track_functional_can_move_02_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_track_functional_can_move\track_functional_can_move_02		14712
	305531114	vehicle_destroyed_03	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\vehicle_destroyed_03_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_vehicle_destroyed\vehicle_destroyed_03		21893
	306580125	turret_rotator_destroyed_04	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\turret_rotator_destroyed_04_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_turret_rotator_destroyed\turret_rotator_destroyed_04		30636
	322915226	target_unlocked_12	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\target_unlocked_12_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_target_unlocked\target_unlocked_12		7149
	326001203	target_unlocked_09	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\target_unlocked_09_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_target_unlocked\target_unlocked_09		14652
	342944632	target_unlocked_06	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\target_unlocked_06_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_target_unlocked\target_unlocked_06		49379
	346457463	target_captured_07	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\target_captured_07_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_target_captured\target_captured_07		9776
	349630752	vehicle_destroyed_23	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\vehicle_destroyed_23_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_vehicle_destroyed\vehicle_destroyed_23		20048
	356437058	vehicle_destroyed_27	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\vehicle_destroyed_27_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_vehicle_destroyed\vehicle_destroyed_27		10015
	391592367	track_damaged_01	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\track_damaged_01_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_track_damaged\track_damaged_01		8955
	400438866	track_destroyed_03	F:\Tanks Projects\RelHaxSoundMod\ingame voice\Base Pack\RelHaxCen\RelHax_4\.cache\Windows\Voices\English(US)\track_destroyed_03_E843A46D.wem		\Actor-Mixer Hierarchy\Default Work Unit\voice_gui\vo_track_destroyed\track_destroyed_03		20933
